blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
211.0,210.74,210.06,200.88,103.346564866,217.72,216.74,216.78,207.88,148.404751362,2,215.28,215.74,214.34,204.88,167.225767547
207.42,206.72,205.64,205.96,100.523632184,214.42,213.58,209.0,212.96,135.634029401,3,209.42,209.38,203.0,209.8,181.802976541
168.72,163.1,78.02,19.54,72.4087974944,174.88,169.18,87.92,18.88,76.7207537244,5,170.04,165.94,202.2,114.62,172.487418723
196.86,199.24,189.28,188.82,110.565837528,210.28,211.52,203.92,203.98,154.385801559,3,206.44,207.92,199.94,200.06,197.996717077
214.72,214.48,83.72,24.0,59.5435568418,220.52,219.64,118.2,74.68,83.0570750569,4,218.12,217.88,228.44,205.26,177.493521005
127.76,131.62,96.2,42.52,81.4131850469,146.96,147.46,130.06,96.36,142.014665613,2,147.0,149.18,149.22,136.54,166.810682779
165.58,163.32,136.56,158.06,95.6266579736,174.14,173.12,150.98,165.06,165.101488888,1,170.08,168.12,148.76,162.06,158.036650985
200.4,201.14,111.14,195.34,84.6950329756,208.14,209.14,152.46,203.34,130.320763052,3,201.6,202.14,191.14,196.34,177.809636055
171.08,171.62,23.46,20.06,56.9952026294,179.08,179.62,83.1,56.84,91.8247069766,4,178.08,178.62,182.94,189.56,177.950650901
200.06,199.84,50.22,16.24,67.3298745062,207.78,204.68,146.84,68.3,130.951939669,2,200.78,198.4,198.52,94.26,157.047472319
227.4,228.3,164.34,126.94,93.871914181,234.4,235.3,213.16,232.96,173.640850858,1,231.4,232.3,207.6,222.46,167.230610254
194.68,194.7,139.18,71.08,71.8607076324,200.0,199.7,148.7,95.84,87.8295890191,5,197.04,197.7,181.26,201.38,173.25114424
204.48,203.96,209.46,186.4,100.658318971,211.52,210.6,215.1,191.4,134.341346021,3,205.08,204.0,208.5,189.4,175.528194624
153.26,149.0,168.66,161.38,91.8522031417,179.54,174.0,183.34,173.66,116.671814639,5,175.38,170.0,179.98,178.54,191.17324584
255.0,255.0,255.0,255.0,87.8136626952,255.0,255.0,255.0,255.0,116.231133631,4,255.0,255.0,255.0,255.0,190.504800589
189.02,188.94,45.2,175.34,68.4592797271,196.02,195.94,79.66,181.22,103.728615246,4,193.02,192.94,194.42,180.86,170.508152868
172.82,176.28,184.42,168.5,85.9450536311,179.82,182.56,192.42,174.3,100.464178746,4,176.82,179.72,185.42,167.7,168.001349497
204.6,205.1,208.36,168.18,97.596641266,211.6,212.1,215.36,179.58,159.334837157,2,206.6,208.54,210.36,180.52,186.173482232
184.2,185.0,192.32,143.0,108.886124523,192.0,193.0,199.32,165.0,144.593134384,3,191.74,192.08,196.32,171.0,181.714743002
206.48,205.6,205.08,61.02,79.0762214539,214.32,215.4,213.08,157.96,134.454580515,2,213.32,213.2,212.08,205.96,159.090583204
215.32,215.44,202.86,216.54,81.3764260737,222.32,222.6,212.1,223.54,116.181816293,3,219.32,219.04,213.32,216.54,195.990756467
